Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00247500063907848,-0.185259399389037,-0.00158375241138103,0,0,0,7.12750649390086,0.0457606455387283,2.77322922063121E-06,3.27411439344327E-05,0.0218108431317149,0.00087813512419584,0.0543254750685279,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/base_link.STL,,robotX90SideSick4-1;gearbox right-1;gearboxLeft-2;motor-1;motor-3;underPart-1;x90Asm-1/x90cp174_xx-00_asm2-2-1;x90Asm-1/x90cp174_xx-00_asm1-3-1;24V30AH-4;24V30AH-3,RobotBaseFrame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,4.16333634234434E-17,5.55111512312578E-17,0.0425,0,0,0,4.46342151734513,0.0214375253295535,-9.27083006375532E-19,-7.97975622392489E-20,0.0214375253295535,-1.43995601033231E-20,0.0375707416693319,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/left_wheel.STL,,hjul - lasse-2,left_wheel_frame,Axis1,left_wheel_joint,continuous,-0.1795,0,0,1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
right_wheel,2.77555756156289E-17,0,-0.0425,0,0,0,4.46342151734513,0.0214375253295535,-2.9042607713123E-19,-5.26009852170224E-19,0.0214375253295535,5.9105590148048E-20,0.0375707416693319,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/right_wheel.STL,,hjul - lasse-1,right_wheel_frame,Axis1,right_wheel_joint,continuous,0.1745,0,0,1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
camera,-0.00631546895414615,-0.00352733963193702,-0.0410769894927615,0,0,0,0.434157647657648,0.000312761614867949,-3.35389293036636E-08,-1.13015683426856E-05,0.000525827528394202,-1.47821575025501E-05,0.000675087918007601,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/camera.STL,,STEP_file_Camera_S-Mount-1;camera mount plade-1,Camera_frame,,camera_joint,fixed,-0.0022996,0.27022,0.04328,2.3562,0,-3.1415,base_link,0,0,0,,,,,,,,,,,,
laser,-3.24297391453426E-05,0.0304099645493233,-0.00053784996415665,0,0,0,0.77572976548165,0.000937718836199801,3.80088779224947E-07,1.32636836288948E-06,0.000971728129760081,-1.59543715911999E-06,0.000813219708306808,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/laser.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/laser.STL,,Scan Mount-1;Scan Mount-2;NANS3-#########-1/NANS3-#########.stp-1/NANS3-XXXXXXXXX.stp-1,Laser,,laser_joint,fixed,-0.0024966,0.13302,-0.025212,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
crust_base_link,-0.000775434228299347,-0.00113711533604213,0.0416704710126419,0,0,0,0.701057914965333,0.0011971005652792,-5.53147698500998E-08,9.59604536529035E-08,0.0013837757206023,-1.74181601624159E-06,0.0025267314392892,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/crust_base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/crust_base_link.STL,,Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Base-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/MX-106T-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/mountstolper-2;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/mount stolpe bagtil-2;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/mount stolpe bagtil-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/mountstolper-1,base_frame <Crust crawler version for urdf of crustcrawler - config sugekop - 01-1>,,crust_base_joint,fixed,-0.0016,0.12075,0.066,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_1,0.000343621275817534,2.70875439462026E-06,0.0324124392068537,0,0,0,0.115895644200107,5.23781885989494E-05,2.31118371821698E-09,-1.06283691716547E-06,6.13819748295207E-05,-1.64177599319527E-09,6.27295249031557E-05,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/link_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/link_1.STL,,Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Base-disc-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-link-link_MX-106T-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/MX-106T-2,joint1_frame <Crust crawler version for urdf of crustcrawler - config sugekop - 01-1>,Axis1 <Crust crawler version for urdf of crustcrawler - config sugekop - 01-1>,joint_1,revolute,0,0,0.059,0,0,0,crust_base_link,0,0,1,200,3,-1.57,1.57,,,,,,,,
link_2,-0.000963145876619553,-0.161378299147481,-0.000284331859152137,0,0,0,0.115162829413529,8.19607421534774E-05,-1.52641760423914E-08,4.13979926412227E-13,2.83238373910903E-05,-8.80590794460571E-07,7.03346423289086E-05,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/link_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/link_2.STL,,Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-Disc-2;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-disc-link_MX-106T-2;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-Disc-3;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Link-1-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-link-link_MX-64T-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Link-plate-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/MX-64T-1,joint2_frame <Crust crawler version for urdf of crustcrawler - config sugekop - 01-1>,Axis2 <Crust crawler version for urdf of crustcrawler - config sugekop - 01-1>,joint_2,revolute,0.00315,0,0.0576,-1.5708,0,1.5708,link_1,0,0,1,200,3,-1.57,18,,,,,,,,
link_3,-0.0012662,-0.14133,1.5697E-05,0,0,0,0.087599,6.3554E-05,-1.5265E-08,-5.2962E-12,1.8123E-05,-1.8274E-07,5.571E-05,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/link_3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/link_3.STL,,Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-disc-link_MX-64T-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-Disc-5;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-Disc-4;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Link-1-2;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Link-plate-3;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/MX-28T-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-link-link_MX-28T-1;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Link-plate-2,joint3_frame <Crust crawler version for urdf of crustcrawler - config sugekop - 01-1>,Axis3 <Crust crawler version for urdf of crustcrawler - config sugekop - 01-1>,joint_3,revolute,0,-0.2198,-0.003,0,0,0,link_2,0,0,1,200,3,-1.57,1.57,,,,,,,,
link_4,1.38777878078145E-16,-0.0166169932258761,-4.9960036108132E-16,0,0,0,0.0123125048840367,4.09168052606625E-06,7.56563432137306E-22,-4.64204911470531E-21,3.3132541446235E-06,1.33391969950404E-21,2.01112432267003E-06,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/link_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base_assembly with arm/meshes/link_4.STL,,Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-disc-link_MX-28T-2;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-Disc-6;Crust crawler version for urdf of crustcrawler - config sugekop - 01-1/Servo-Disc-8,joint4_frame <Crust crawler version for urdf of crustcrawler - config sugekop - 01-1>,Axis4 <Crust crawler version for urdf of crustcrawler - config sugekop - 01-1>,joint_4,revolute,0,-0.2113,-0.001675,0,0,0,link_3,0,0,1,200,3,-1.57,1.57,,,,,,,,
